id,value
32539598791,11
32539868819,30
43389239267,48
43389577169,4
32538592721,22
32539759134,71
32540909902,27
32537663202,56
10860148282,30
32539759571,21
32541903812,95
21699945408,6
32536480876,95
32538674810,48
21692572834,86
32538680273,37
32539637171,59
32537720592,70
32537720594,12
32539469186,93
32537657565,45
32536357032,33
32538581671,36
43389177396,40
32536286403,27
32540779779,100
32540799145,6
32541794628,93
32539469191,16
10856585062,89
32539462681,19
32537817175,19
32539462682,19
32536027801,5
32540909457,62
32539649807,31
10855028039,17
10859815901,26
32541779416,65
32536017287,87
10854702810,81
32537517692,100
32539707805,17
32539648679,11
10860147765,77
32538678973,59
10854929313,45
10852143632,53
32541902610,64
32536027199,48
32536141017,27
32536141022,38
32536141028,30
32536141048,12
32536141050,24
32536141051,31
32536141065,89
32536141069,94
32536294007,33
32536294008,7
32536294010,99
32537649884,46
32537649886,35
32537649888,86
32537649890,12
32537649892,69
32537755998,87
32537912804,49
32538676337,93
32538676341,57
32538676344,45
32538676347,83
32538676349,1
32539461709,34
32539461710,6
32539461711,84
32539461712,39
32539461713,45
32539844848,95
32539844866,44
32540747618,87
32540747621,79
32540919489,46
32540926598,29
32540926601,2
32541030633,78
32541030636,21
32541030639,28
32541722202,27
32541722219,13
32541722222,27
32542045270,75
10848045315,78
10850037149,90
10850910526,90
10857100680,2
10859940589,100
10863285548,85
10863408177,53
10863408183,14
21693836856,58
32540919492,79
32541722206,16
32538368929,60
32540740533,20
32536133274,36
32536748530,89
32539648715,80
43387868589,89
32536133271,10
32537517758,37
16784309,8
10863288253,35
32536026916,79
4377297,17
32537517764,49
32536133235,94
32536293581,29
32541776519,66
32537830587,20
2414388,64
11213433,37
14930395,64
15306805,4
16784307,23
16784308,42
18056183,40
10846984647,39
10848045298,62
10848193371,4
10848256781,70
10848753947,50
10849003292,39
10849435176,27
10850037364,49
10850037365,77
10850253866,34
10851237346,4
10853056098,59
10853116461,61
10862480020,73
10863003217,63
10863003223,1
21692111337,27
21692111338,40
21692984906,50
32536237598,14
32536237599,60
75933981533,94
43393370660,14
43395446529,58
43396118315,9
54227174369,54
54227174451,55
54227174453,77
75931925690,91
75931925758,72
32541903723,90
10846697559,63
10849988749,3
10857326272,64
10859509487,21
32536222932,21
32538531251,29
32537663152,52
10860147761,74
2414339,25
32538505261,33
32536134945,37
10859822514,20
10852272025,63
10853470530,25
10857100677,48
21695451448,94
32536657227,38
32541030352,22
32537809100,89
32536141349,42
10848784071,26
32537809102,91
32536141347,23
65079582228,71
32537720663,59
32538368967,25
32537720667,18
32536062344,75
32537720665,57
32536062331,73
32536062334,26
32541737432,79
21693931612,62
21692943751,2
32541979147,2
32536133236,37
65082430669,61
65085151514,65
65085197634,3
65085330445,86
65085740508,40
75917123162,97
32536026917,68
14603740,79
16455544,19
18654962,61
19889541,87
10845439767,81
10845752920,36
10846812546,38
10846869373,78
10846869376,35
10847813298,84
10847813299,48
10848236351,49
10848754109,88
10848754110,13
10849143544,63
10849435167,5
10849435282,68
10849435283,80
10849435284,87
10849435285,63
10849669593,29
10850207420,95
10850910375,42
10850910379,71
10851794246,62
10851794295,54
